AI2_Data,CN_Data,rs,bs,acb,ws,dr,low,high,accuracy
physicaliqa,all_cs_10k,10061880,2,8,150,0,76.1,79.7,78.0
physicaliqa-10pc,all_cs_10k,10061880,2,8,150,0.3,63.5,67.8,65.6
physicaliqa,all_cs_10k,10061880,2,8,150,0.3,74.2,78.2,76.2
physicaliqa-10pc,all_cs_10k,10061880,2,8,300,0,66.3,70.3,68.3
physicaliqa,all_cs_10k,10061880,2,8,300,0.2,75.4,79.0,77.2
physicaliqa-10pc,all_cs_10k,10061880,2,8,300,0.2,64.2,68.6,66.4
physicaliqa,all_cs_10k,10061880,2,8,300,0,76.1,79.9,78.0
physicaliqa-10pc,all_cs_10k,10061880,2,8,300,0.3,62.1,66.5,64.2
physicaliqa-10pc,all_cs_10k,10061880,3,2,150,0,65.2,69.6,67.4
physicaliqa,all_cs_10k,10061880,2,8,300,0.3,74.2,78.2,76.2
physicaliqa,all_cs_10k,10061880,3,2,150,0,76.2,79.8,78.0
physicaliqa-10pc,all_cs_10k,10061880,3,2,150,0.3,64.4,68.6,66.5
physicaliqa-10pc,all_cs_10k,10061880,3,2,150,0.2,65.1,69.5,67.4
physicaliqa,all_cs_10k,10061880,3,2,150,0.2,76.3,80.0,78.2
physicaliqa,all_cs_10k,10061880,3,2,150,0.3,64.2,68.5,66.5
physicaliqa-10pc,all_cs_10k,10061880,3,2,300,0,65.2,69.6,67.4
physicaliqa-10pc,all_cs_10k,10061880,3,2,300,0.2,65.1,69.5,67.4
physicaliqa,all_cs_10k,10061880,3,2,300,0,76.2,79.8,78.0
physicaliqa-10pc,all_cs_10k,10061880,3,8,150,0,63.0,67.3,65.2
physicaliqa-10pc,all_cs_10k,10061880,3,2,300,0.3,65.5,69.7,67.6
physicaliqa,all_cs_10k,10061880,3,2,300,0.3,64.2,68.5,66.5
physicaliqa,all_cs_10k,10061880,3,2,300,0.2,76.3,80.0,78.2
physicaliqa,all_cs_10k,10061880,3,8,150,0,73.4,77.4,75.5
physicaliqa-10pc,all_cs_10k,10061880,3,8,150,0.2,62.0,66.4,64.2
physicaliqa-10pc,all_cs_10k,10061880,3,8,150,0.3,61.4,65.8,63.7
physicaliqa,all_cs_10k,10061880,3,8,150,0.2,74.2,78.1,76.2
physicaliqa,all_cs_10k,10061880,3,8,150,0.3,73.6,77.5,75.5
physicaliqa-10pc,all_cs_10k,10061880,3,8,300,0,61.0,65.3,63.2
physicaliqa,all_cs_10k,10061880,3,8,300,0.2,70.8,75.1,72.9
physicaliqa-10pc,all_cs_10k,10061880,3,8,300,0.2,57.7,62.1,59.9
physicaliqa,all_cs_10k,10061880,3,8,300,0,74.1,77.8,76.0
physicaliqa-10pc,all_cs_10k,10061880,3,8,300,0.3,54.6,58.9,56.8
physicaliqa,all_cs_10k,10061880,3,8,300,0.3,70.8,74.7,72.9
